daty;gva
2017,1;35997,3
2017,2;38526,1
2017,3;41277,4
2017,4;38981,5
2018,1;36049
2018,2;39184,9
2018,3;41724,6
2018,4;39676,4
2019,1;36562,7
2019,2;40409,9
2019,3;43406,8
2019,4;40353,2
2020,1;36283,3
2020,2;34354,5
2020,3;39026,3
2020,4;37572,2
2021,1;35500,3
2021,2;39015,7
2021,3;44025,3
2021,4;42474,1
2022,1;40446,6
2022,2;44851,1
2022,3;50374,1
2022,4;47736,9
2023,1;44156,9
2023,2;48505,9
2023,3;53448,4
2023,4;50416,9
2024,1;45905,4
2024,2;51005
2024,3;56074
2024,4;52936
2025,1;47907,8
2025,2;53716
