daty;gva;gva2020
1995,1;19061,2;30668,5
1995,2;19847,1;31323,8
1995,3;21615,4;34074,9
1995,4;22858,3;35140,6
1996,1;20569,6;31186,6
1996,2;21555,1;31478,2
1996,3;23616,3;34390
1996,4;25166,5;35249,6
1997,1;22422,4;31740,1
1997,2;23727,3;32587,5
1997,3;26005,9;35723,2
1997,4;27762,6;36625,2
1998,1;24773,2;33791,3
1998,2;26118,2;34203,2
1998,3;28319,9;36864,2
1998,4;30036;37607,6
1999,1;26272,5;34057
1999,2;27603,8;34594,9
1999,3;29506,4;37315,2
1999,4;31457,4;38542,4
2000,1;27702,4;35292,6
2000,2;29163,8;36022,8
2000,3;31315,8;38977,7
2000,4;32913,3;39966,3
2001,1;30052,8;37338
2001,2;31502,7;37471,6
2001,3;33893,5;40399,8
2001,4;35266,1;40972,7
2002,1;32342,1;38452,5
2002,2;34533,9;40005,5
2002,3;36245,3;42360
2002,4;38117,5;42723,1
2003,1;35521,8;40886,5
2003,2;37824,9;42495
2003,3;40275,1;44691,1
2003,4;42082,6;45534,8
2004,1;39603,9;44045,3
2004,2;41552,4;45026,4
2004,3;44055,9;47556,7
2004,4;44750,1;47738,3
2005,1;40406,1;44118,9
2005,2;43204,3;46003,4
2005,3;44674,4;47981,1
2005,4;46066,8;48230,4
2006,1;43533;46375,3
2006,2;47065,3;48562
2006,3;48012,4;49731
2006,4;50873,8;51437,7
2007,1;46474,2;47687,2
2007,2;51139,1;51361,4
2007,3;51604,9;51774,1
2007,4;52636,9;51085,5
2008,1;48936,2;48710,7
2008,2;52904,5;50768,8
2008,3;54166,7;51680
2008,4;54556,5;51341,1
2009,1;47775,1;46343
2009,2;52457,2;49147,9
2009,3;53555,1;50257
2009,4;55391,9;50099
2010,1;48489,7;45987
2010,2;49856,6;46645,2
2010,3;48755,4;45887,7
2010,4;50094;45902,3
2011,1;43083,6;41441,1
2011,2;45650,8;42933,2
2011,3;45345;42956,9
2011,4;44267,9;40724
2012,1;39075,2;37798,8
2012,2;41223,8;39176,2
2012,3;41766,8;39852,2
2012,4;41700,4;39130,6
2013,1;36810,7;35742,9
2013,2;39772,1;38221,6
2013,3;40769,2;39857,8
2013,4;40443,2;39538,8
2014,1;36236,6;36083,4
2014,2;38745,9;38333,8
2014,3;40325,3;39907,3
2014,4;40047,5;39213,7
2015,1;36268,1;36339
2015,2;38729,1;38389,2
2015,3;39614;39213
2015,4;40169,5;39607,9
2016,1;35233,8;35827,8
2016,2;37936;38135,8
2016,3;39732;39840,2
2016,4;39113,8;39212,5
2017,1;35997,3;36461,2
2017,2;38526,1;38853,9
2017,3;41277,4;41710,2
2017,4;38981,5;39427,9
2018,1;36049;36925,1
2018,2;39184,9;39815,3
2018,3;41724,6;42186,3
2018,4;39676,4;40226,9
2019,1;36562,7;37242,6
2019,2;40409,9;40725,7
2019,3;43406,8;43436,7
2019,4;40353,2;40568,5
2020,1;36283,3;36381,8
2020,2;34354,5;34421,3
2020,3;39026,3;38977
2020,4;37572,2;37456,2
2021,1;35500,3;35806,8
2021,2;39015,7;38839
2021,3;44025,3;43570,7
2021,4;42474,1;40982,9
2022,1;40446,6;38041
2022,2;44851,1;41380
2022,3;50374,1;45546,1
2022,4;47736,9;42662,9
2023,1;44156,9;39171,5
2023,2;48505,9;42380,5
2023,3;53448,4;46146,6
2023,4;50416,9;43621,8
2024,1;45905,4;39428,1
2024,2;51005;43346,8
2024,3;56074;47054
2024,4;52936;44573,5
2025,1;47907,8;39798,7
2025,2;53716;43956,5
